Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross (In Millions),Metascore,Votes
Harry Potter and the Goblet of Fire,2005,"Adventure,Family,Fantasy",7.7,157,290.01 ,81,"621,111"
Spider-Man 3,2007,"Action,Adventure,Sci-Fi",6.3,139,336.53 ,59,"587,489"
Ice Age: Dawn of the Dinosaurs,2009,"Animation,Adventure,Comedy",6.9,94,196.57 ,50,"245,386"
Spectre,2015,"Action,Adventure,Thriller",6.8,148,200.07 ,60,"439,299"
Spider-Man: Homecoming,2017,"Action,Adventure,Sci-Fi",7.4,133,334.20 ,73,"649,821"
Harry Potter and the Chamber of Secrets,2002,"Adventure,Family,Fantasy",7.4,161,261.99 ,63,"629,277"
Ice Age: Continental Drift,2012,"Animation,Adventure,Comedy",6.5,88,161.32 ,49,"209,391"
The Secret Life of Pets,2016,"Animation,Adventure,Comedy",6.5,87,368.38 ,61,"202,342"
Batman v Superman: Dawn of Justice,2016,"Action,Adventure,Sci-Fi",6.4,152,330.36 ,44,"695,862"
Zhan lang II,2017,"Action,Adventure,Drama",5.9,123,2.72 ,44,"8,132"
Star Wars: Episode III - Revenge of the Sith,2005,"Action,Adventure,Fantasy",7.6,140,380.26 ,68,"786,549"
The Hunger Games: Catching Fire,2013,"Action,Adventure,Sci-Fi",7.5,146,424.67 ,76,"662,070"
Guardians of the Galaxy Vol. 2,2017,"Action,Adventure,Comedy",7.6,136,389.81 ,67,"673,752"
Inside Out,2015,"Animation,Adventure,Comedy",8.2,95,356.46 ,94,"706,883"
Venom,2018,"Action,Adventure,Sci-Fi",6.6,112,213.52 ,35,"480,550"
Thor: Ragnarok,2017,"Action,Adventure,Comedy",7.9,130,315.06 ,74,"742,843"
Inception,2010,"Action,Adventure,Sci-Fi",8.8,148,292.58 ,74,"2,324,716"
Transformers: Revenge of the Fallen,2009,"Action,Adventure,Sci-Fi",5.9,149,402.11 ,35,"406,957"
The Twilight Saga: Breaking Dawn - Part 2,2012,"Adventure,Drama,Fantasy",5.5,115,292.30 ,52,"249,122"
Spider-Man,2002,"Action,Adventure,Sci-Fi",7.4,121,403.71 ,73,"811,999"
Wonder Woman,2017,"Action,Adventure,Fantasy",7.4,141,412.56 ,76,"653,072"
Independence Day,1996,"Action,Adventure,Sci-Fi",7,145,306.17 ,59,"574,288"
Fantastic Beasts and Where to Find Them,2016,"Adventure,Family,Fantasy",7.2,132,234.04 ,66,"473,418"
Shrek the Third,2007,"Animation,Adventure,Comedy",6.1,93,320.71 ,58,"306,508"
Coco,2017,"Animation,Adventure,Comedy",8.4,105,209.73 ,81,"498,683"
Jumanji: The Next Level,2019,"Action,Adventure,Comedy",6.7,123,316.83 ,58,"248,177"
Harry Potter and the Prisoner of Azkaban,2004,"Adventure,Family,Fantasy",7.9,142,249.36 ,82,"628,520"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"Action,Adventure,Fantasy",6.5,129,172.56 ,39,"310,294"
E.T. the Extra-Terrestrial,1982,"Adventure,Family,Sci-Fi",7.9,115,435.11 ,91,"407,536"
Mission: Impossible - Fallout,2018,"Action,Adventure,Thriller",7.7,147,220.16 ,86,"331,232"
2012,2009,"Action,Adventure,Sci-Fi",5.8,158,166.11 ,49,"377,606"
Indiana Jones and the Kingdom of the Crystal Skull,2008,"Action,Adventure",6.2,122,317.10 ,65,"453,532"
Spider-Man 2,2004,"Action,Adventure,Sci-Fi",7.4,127,373.59 ,83,"648,995"
Furious 6,2013,"Action,Adventure,Crime",7,130,238.68 ,61,"394,307"
Deadpool 2,2018,"Action,Adventure,Comedy",7.7,119,324.59 ,66,"575,147"
Deadpool,2016,"Action,Adventure,Comedy",8,108,363.07 ,65,"1,026,159"
Star Wars,1977,"Action,Adventure,Fantasy",8.6,121,322.74 ,90,"1,353,518"
No Time to Die,2021,"Action,Adventure,Thriller",7.3,163,160.87 ,68,"392,253"
Guardians of the Galaxy,2014,"Action,Adventure,Comedy",8,121,333.18 ,76,"1,167,695"
The Da Vinci Code,2006,"Mystery,Thriller",6.6,149,217.54 ,46,"432,328"
Fast & Furious Presents: Hobbs & Shaw,2019,"Action,Adventure,Thriller",6.5,137,173.96 ,60,"211,651"
Maleficent,2014,"Adventure,Family,Fantasy",6.9,97,241.41 ,56,"374,967"
The Amazing Spider-Man,2012,"Action,Adventure,Sci-Fi",6.9,136,262.03 ,66,"653,109"
The Hunger Games: Mockingjay - Part 1,2014,"Action,Adventure,Sci-Fi",6.6,123,337.14 ,64,"453,870"
Shrek Forever After,2010,"Animation,Adventure,Comedy",6.3,93,238.37 ,58,"204,809"
Madagascar 3: Europe's Most Wanted,2012,"Animation,Adventure,Comedy",6.8,95,216.39 ,60,"181,744"
Suicide Squad,2016,"Action,Adventure,Fantasy",5.9,123,325.10 ,40,"682,385"
X-Men: Days of Future Past,2014,"Action,Adventure,Sci-Fi",7.9,132,233.92 ,75,"710,007"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"Adventure,Family,Fantasy",6.9,143,291.71 ,75,"397,304"
Monsters University,2013,"Animation,Adventure,Comedy",7.2,104,268.49 ,65,"358,803"
